"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Footer Functionality","1","0","162_CG_FOOTER_001 Footer Section","0"
"1","","0","","0","0","","0"
